title,rating,ratingLevel,release year,user rating score,Рейтинг КП,Голоса КП,Рейтинг IMDb,Голоса IMDb,Жанры,Страны
White Chicks,PG-13,"crude and sexual humor, language and some drug content",2004,82.0,6.396,87065,5.8,165480,"комедия, криминал",США
Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,98.0,8.225,150776,7.6,353710,"драма, мелодрама",США
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2008,98.0,8.367,293050,8.3,611933,"боевик, триллер, драма, криминал, детектив","США, Великобритания"
How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,2014,94.0,8.621,257678,8.3,750237,"комедия, мелодрама, драма",США
Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,95.0,8.239,581174,8.4,503826,"фэнтези, ужасы, триллер, драма, детектив",США
Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2013,97.0,8.908,693922,9.5,2278051,"криминал, драма, триллер",США
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2017,91.0,7.957,302990,7.7,362594,"драма, фэнтези, ужасы, триллер, мелодрама, детектив",США
The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2015,98.0,7.97,528839,8.1,1125751,"ужасы, триллер, драма",США
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,96.0,8.059,53191,7.4,182212,"триллер, драма, мелодрама, детектив",США
Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,2016,98.0,7.863,170390,7.7,241024,"фэнтези, мелодрама, приключения",США
Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,95.0,8.854,662644,9.1,1032442,"детектив, триллер, драма, криминал","Великобритания, США"
Death Note,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2006,77.0,4.994,34844,4.5,90929,"ужасы, фэнтези, триллер, драма, криминал, детектив",США
Naruto,TV-PG,Parental guidance suggested. May not be suitable for all children.,2008,88.0,7.702,101678,8.4,141269,"аниме, мультфильм, фэнтези, боевик, комедия",Япония
Arrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,96.0,7.393,97183,7.5,451290,"фантастика, боевик, драма, криминал, детектив, приключения",США
Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,80.0,8.475,373132,8.7,667343,"фантастика, триллер, драма, детектив, ужасы",Великобритания
The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,74.0,8.055,159469,8.2,152558,"фэнтези, драма, детектив, ужасы",США
The 100,NR,This movie has not been rated.,2016,97.0,7.283,145458,7.5,286680,"фантастика, драма, детектив",США
Masha and the Bear,TV-Y,Suitable for all ages.,2013,81.0,0.0,109,6.7,3427,"документальный, биография","Бельгия, Великобритания"
Hunter X Hunter (2011),NR,This movie has not been rated.,2013,57.0,8.583,30114,9.0,154159,"аниме, мультфильм, комедия, приключения, боевик","Япония, Польша"
Marvel's Luke Cage,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,95.0,7.31,36964,7.2,14864,"мультфильм, фантастика, боевик, комедия, приключения, семейный",США
Marvel's Iron Fist,TV-MA,Unknown,2017,98.0,6.362,18404,6.4,142505,"фантастика, фэнтези, боевик, криминал, приключения",США
Narcos,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,94.0,8.366,96855,8.7,490821,"криминал, драма","США, Колумбия"
The Flash,TV-PG,Parental guidance suggested. May not be suitable for all children.,2016,98.0,7.472,198513,7.5,373859,"фантастика, боевик, драма, приключения",США
The Do-Over,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,84.0,5.819,8807,5.7,51861,"боевик, комедия, детектив, приключения",США
Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,2016,83.0,7.852,6002,8.4,19843,"мультфильм, фэнтези, приключения, боевик, комедия, семейный","США, Мексика"
Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2017,82.0,7.152,6552,7.8,78688,"ужасы, комедия",США
Girlboss,TV-MA,Unknown,2017,94.0,6.701,6062,7.0,20098,комедия,США
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2017,99.0,7.286,103516,7.5,324699,"триллер, драма, детектив",США
Sand Castle,TV-MA,Unknown,2017,89.0,6.005,2052,6.3,27676,"боевик, драма, военный",США
Sandy Wexler,TV-14,Unknown,2017,92.0,5.604,2508,5.2,19022,комедия,США
The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2012,97.0,8.661,226514,9.0,755754,комедия,США
90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2013,62.0,7.134,10953,6.2,46601,"драма, мелодрама, комедия",США
Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2012,96.0,8.062,102332,7.5,202060,"драма, мелодрама",США
Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,94.0,8.14,54061,8.6,298352,комедия,США
Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,2015,92.0,7.959,30822,6.8,157766,"мюзикл, драма, комедия, музыка",США
Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2015,98.0,7.72,213042,8.1,372712,"мультфильм, комедия",США
Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,98.0,8.149,82870,8.1,227263,"триллер, драма, криминал, детектив",США
Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2003,98.0,9.229,532808,8.9,1126162,"комедия, мелодрама",США
The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2013,81.0,6.522,3176,4.9,21192,"драма, мелодрама, комедия, семейный",США
One Tree Hill,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2011,90.0,8.15,20538,7.8,89837,"драма, мелодрама, спорт",США
Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,97.0,8.631,630910,8.5,304864,"драма, комедия",США
New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,91.0,7.624,33476,7.8,252433,"мелодрама, комедия",США
American Horror Story,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,90.0,7.916,263072,7.9,351924,"ужасы, фантастика, триллер, драма",США
Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,98.0,7.829,44517,8.0,326199,"драма, комедия, криминал",США
Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,83.0,7.626,49407,8.1,120480,"триллер, детектив, ужасы, драма",США
Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2017,90.0,7.097,2810,8.2,58656,комедия,США
How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,95.0,8.076,130676,8.1,171697,"детектив, триллер, криминал, драма",США
The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2017,80.0,7.943,2558,8.2,23996,"мюзикл, драма, музыка",США
Stranger Things,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,90.0,8.362,558117,8.7,1416377,"ужасы, фантастика, фэнтези, триллер, драма, детектив",США
Ingobernable,TV-MA,Unknown,2017,96.0,0.0,238,7.0,3537,"триллер, драма, криминал, детектив",Мексика
Zootopia,PG,"some thematic elements, rude humor and action",2016,97.0,8.315,1031103,8.0,552138,"мультфильм, комедия, криминал, детектив, приключения, семейный, боевик",США
Meet the Blacks,R,"pervasive language, some sexual material, violence and drug use",2016,79.0,3.574,912,4.8,37940,"ужасы, комедия",США
Finding Dory,PG,mild thematic elements,2016,98.0,7.426,176509,7.2,306533,"мультфильм, комедия, приключения, семейный",США
Sausage Party,R,"strong crude sexual content, pervasive language, and drug use",2016,91.0,5.96,160557,6.1,211562,"мультфильм, фэнтези, комедия, приключения","США, Канада"
Pete's Dragon,PG,"for action, peril and brief language",2016,93.0,6.584,26656,6.7,61898,"фэнтези, боевик, драма, комедия, приключения, семейный","США, Великобритания, Новая Зеландия, Индия"
Kevin Hart: What Now?,R,"some sexual material, and language throughout",2016,97.0,6.048,533,5.9,9993,"документальный, комедия",США
Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2017,93.0,6.49,6247,7.7,10905,комедия,Великобритания
Cheer Squad,TV-PG,Unknown,2016,61.0,0.0,4,4.7,261,триллер,Канада
Only for One Night,TV-MA,Unknown,2016,78.0,0.0,118,4.4,789,триллер,США
30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2012,66.0,7.405,5033,8.3,134126,комедия,США
Mad Men,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2014,75.0,7.869,25495,8.7,270195,драма,США
It's Always Sunny in Philadelphia,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,91.0,7.979,20960,8.8,261858,комедия,США
Californication,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2014,63.0,8.058,120827,8.3,190861,"драма, комедия",США
Portlandia,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,62.0,7.063,1520,7.8,23658,комедия,США
The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2013,92.0,6.466,2749,6.5,12849,"драма, криминал",США
Better Call Saul,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,95.0,8.391,175307,9.0,703083,"драма, криминал",США
Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,74.0,0.0,0,0.0,0,короткометражка,США
The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,2016,94.0,8.447,1607,8.6,13934,"игра, реальное ТВ",Великобритания
Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,68.0,7.182,1639,8.0,17844,комедия,США
Louis C.K. 2017,TV-MA,Unknown,2017,71.0,7.567,1222,7.6,10889,комедия,США
Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2017,94.0,7.207,629,7.9,29158,комедия,США
The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2012,88.0,5.632,9483,5.6,43539,"мультфильм, комедия, приключения",США
Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2012,59.0,7.905,1382,8.2,22073,комедия,Великобритания
Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2013,73.0,7.478,4458,8.1,41624,"комедия, семейный",США
Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2014,63.0,7.78,21765,7.3,18228,"мультфильм, комедия",США
Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,86.0,6.797,12975,6.0,11557,"триллер, криминал, детектив","Мексика, США"
Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,91.0,6.913,7962,7.9,61234,комедия,США
Dope,R,"language, drug content, sexuality/nudity, and some violence-all involving teens",2015,79.0,6.853,13688,7.2,89587,"драма, комедия, криминал, приключения",США
The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,69.0,0.0,42,7.7,3374,комедия,США
Haters Back Off,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,58.0,0.0,163,5.9,7961,"драма, мелодрама, комедия",США
Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",2016,96.0,7.471,40203,7.7,139142,"мультфильм, фэнтези, боевик, приключения, семейный","Великобритания, США"
Little Boxes,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,61.0,0.0,130,5.9,2225,"драма, комедия",США
Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,62.0,0.0,243,7.5,6278,драма,США
Nurse Jackie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2015,82.0,7.141,5500,7.8,30150,"драма, комедия",США
Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2006,91.0,8.054,18317,8.2,157420,"драма, комедия",США
Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2014,79.0,7.093,7501,7.1,55305,"драма, комедия",США
Life Unexpected,TV-PG,Parental guidance suggested. May not be suitable for all children.,2010,55.0,7.805,3471,7.5,15691,драма,"США, Канада"
Being Human (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2014,58.0,7.455,6924,7.5,27282,"ужасы, фэнтези, драма","Канада, США"
Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,80.0,7.628,3510,7.3,21995,"драма, мелодрама, комедия, семейный",США
Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2017,81.0,7.904,34572,8.2,166308,"фантастика, триллер, драма, детектив",США
Girlfriends' Guide to Divorce,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,63.0,6.795,921,7.0,4912,"драма, комедия",США
The Great Gilly Hopkins,PG,for thematic material and language,2016,69.0,6.354,752,6.5,5335,"драма, комедия, семейный",США
The Magicians,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,89.0,7.193,44018,7.6,57819,"фэнтези, драма, детектив",США
The Matchbreaker,PG,Parental guidance suggested. May not be suitable for children.,2016,79.0,5.489,458,5.6,2902,"мелодрама, комедия",США
The Waterboy,PG-13,language and some crude sexual humor,1998,82.0,6.766,19549,6.1,179805,"комедия, спорт",США
10 Things I Hate About You,PG-13,"adult content, adult language and mild violence",1999,68.0,7.817,160325,7.3,390778,"драма, мелодрама, комедия",США
How to Lose a Guy in 10 Days,PG-13,some sex-related material,2003,56.0,7.327,178462,6.5,273299,"мелодрама, комедия","США, Германия"
The Benchwarmers,PG-13,"crude and suggestive humor, and for language",2006,77.0,5.574,3561,5.5,55307,"комедия, спорт",США
Step Up,PG-13,"thematic elements, brief violence and innuendo",2006,64.0,7.61,156852,6.5,127511,"драма, мелодрама, криминал, музыка",США
High School Musical 2,TV-G,Suitable for all ages.,2007,58.0,7.032,22285,5.2,66645,"мюзикл, драма, мелодрама, комедия, семейный, музыка",США
Twilight,PG-13,some violence and one sexual scene,2008,89.0,6.698,392642,5.3,490279,"фэнтези, драма, мелодрама",США
Coraline,PG,"thematic elements, scary images, some language and suggestive humor",2009,95.0,7.769,252487,7.7,266441,"мультфильм, фэнтези, семейный, приключения",США
Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,2009,56.0,6.136,13644,4.7,46018,"драма, мелодрама, комедия, семейный, музыка",США
Friday Night Lights,TV-PG,Parental guidance suggested. May not be suitable for all children.,2010,81.0,7.342,6199,7.2,67117,"драма, спорт","США, Германия"
That '70s Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2005,89.0,8.001,3603,8.1,192821,"драма, мелодрама, комедия",США
Heartland,TV-PG,Parental guidance suggested. May not be suitable for all children.,2015,85.0,0.0,194,8.5,20879,"драма, семейный",Канада
Switched at Birth,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,83.0,7.678,7798,7.7,26453,"драма, мелодрама, семейный",США
Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,2014,81.0,7.736,7158,7.7,57694,"драма, мелодрама, комедия",США
Safe Haven,PG-13,"thematic material involving threatening behavior, and for violence and sexuality",2013,62.0,7.205,147015,6.7,118093,"триллер, драма, мелодрама",США
The Night Shift,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,93.0,7.35,2557,7.4,13331,"драма, мелодрама",США
Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,79.0,7.694,39688,7.4,55854,драма,США
Fuller House,TV-G,Suitable for all ages.,2016,90.0,5.672,297,6.7,30070,"комедия, семейный, драма",США
Gilmore Girls: A Year in the Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,77.0,7.311,3096,7.5,46676,"драма, комедия",США
Gabriel lglesias: I‰Ûªm Sorry For What I Said When I Was Hungry,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,84.0,6.003,3909,5.5,14299,"ужасы, фэнтези, боевик, триллер",Австралия
Blow,R,"pervasive drug content and language, some violence and sexuality",2001,78.0,7.968,161440,7.5,276396,"криминал, биография, драма",США
High School Musical,TV-G,Suitable for all ages.,2006,64.0,7.051,33198,5.6,97124,"мюзикл, драма, мелодрама, комедия, семейный, музыка",США
Bones,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,97.0,7.999,137440,7.8,181379,"драма, мелодрама, комедия, криминал, детектив",США
Law & Order: Special Victims Unit,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,97.0,7.702,5500,8.1,132817,"триллер, драма, криминал, детектив",США
NCIS,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,97.0,7.987,8403,7.8,168127,"боевик, триллер, драма, криминал, детектив",США
Army Wives,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2013,61.0,7.271,948,7.5,8604,"драма, мелодрама, военный",США
Private Practice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2012,88.0,7.287,5148,6.8,29695,"драма, мелодрама, комедия",США
Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,2015,84.0,5.93,83060,6.4,54460,"боевик, триллер, криминал","Франция, Бельгия"
Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,92.0,7.591,10320,7.7,80087,"триллер, драма",США
Magic Mike,R,"pervasive sexual content, brief graphic nudity, language and some drug use",2012,77.0,6.233,58418,6.1,147746,"драма, комедия, музыка",США
Trouble with the Curve,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,2012,63.0,7.08,15802,6.8,68958,"драма, спорт",США
Home,PG,mild action and some rude humor,2015,94.0,7.288,148000,6.5,112582,"мультфильм, фантастика, комедия, приключения, семейный","США, Индия"
Skin Wars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,69.0,0.0,12,6.8,41,"аниме, мультфильм",Япония
Lost,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2010,98.0,8.141,385123,8.3,626185,"фантастика, детектив, фэнтези, триллер, драма, приключения",США
Weeds,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2012,85.0,7.757,15677,7.9,118937,"драма, комедия, криминал",США
Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2010,89.0,8.133,324011,8.0,130561,"триллер, драма, криминал, детектив",США
Charmed,TV-PG,Parental guidance suggested. May not be suitable for all children.,2005,90.0,7.795,144708,7.2,94515,"фэнтези, драма, детектив",США
White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,2014,93.0,8.089,81664,8.2,146838,"детектив, криминал, драма, комедия",США
House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,91.0,8.301,101136,8.6,541692,драма,США
The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2014,73.0,8.163,95798,8.3,127499,"триллер, детектив, драма, криминал","США, Канада"
The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,96.0,7.607,40431,7.9,286295,"триллер, драма, криминал, детектив",США
The Fosters,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,73.0,7.75,3705,7.9,31444,"драма, мелодрама",США
Bitten,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,56.0,6.178,4404,6.9,19661,"ужасы, фэнтези, драма, детектив",Канада
London Has Fallen,R,strong violence and language throughout,2016,96.0,5.984,97233,5.9,171665,"боевик, триллер","США, Великобритания, Болгария"
Marvel's Jessica Jones,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2015,83.0,0.0,1,0.0,0,боевик,США
The Crown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,84.0,8.363,77241,8.6,266374,"драма, история, биография",Великобритания
Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,88.0,7.076,10519,6.7,64594,"триллер, драма, криминал, детектив",США
Dexter,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2013,95.0,8.281,266873,8.6,822635,"триллер, драма, криминал, детектив",США
Leverage,TV-PG,Parental guidance suggested. May not be suitable for all children.,2012,86.0,7.956,13156,7.9,55171,"триллер, криминал, детектив",США
Burn Notice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2013,85.0,7.404,2840,8.0,80456,"боевик, триллер, драма, криминал, детектив",США
